,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
300,Park View City,Park View City,1.82,1.0,2.4,1.0,"Lake Harbour Premium Location with Fountains View and Hill View. Possession Available Full Cash rate : 32k per sq feet 6 months payment plan : 34k per sq feet 1 year payment plan : 36k per sq feet 2 years payment plan with possession on 50% : 38k per sq feet Located on A-Com Plot A51,A52 A Project of Foursquare Developers",0,1.0,1.0,1.0,12.0,1.0,2.0,1.0,0.7583333333333334,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
305,Top City 1,Top City 1,1.1,2.0,3.8,2.0,"Top Location Ready To Move 2 Bedroom For Sale Top City Islamabad Features 1-Ready To Move 2-Size 848 Sqft 3-Open View 4- 2 Elevator 5-Near To Gate 6-24 Hour Security 7-Easily Access To Main Road 8-2 Bedroom 9-1 Kitchen 10-2 Bath Room 11-TV Lounge Price Details: One Day Cash And On Time Both Option Possible -For Further Details Feel Free To Contact Us Mr. Sana Ullah Attention Landlord: List Your Properties With Us For Better Result, We Provide The Maximum Media Exposure For Your Property To Maximize The Chances Of Selling And Renting In The Right Time And For The Right Clients.",1,4.0,6.0,2.0,8.0,,1.0,,0.2894736842105263,Brand New (2025),Mid-Level,Mid Rise Core,Dual Setup
311,Diamond Mall & Residency,Gulberg Greens,2.0,4.0,7.8,4.0,modern design Two terraces store room laundry area first floor main road facing corner apartment secured car parking 24/7 security plus camera surveillance,0,1.0,1.0,1.0,8.0,,,,0.25641025641025644,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
312,Smama Star Mall & Residency,Gulberg Greens,1.85,3.0,5.5,3.0,3 Bedroom Apartment Fully Furnished. Side Facing.,1,1.0,1.0,1.0,8.0,,,,0.33636363636363636,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
313,Gulberg Greens,Gulberg Greens,1.8,3.0,6.2,3.0,3 Bedrooms Furnished Apartment Available For Sale In Gulberg Greens Block A.,0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.2903225806451613,Recently Built,Ground/First Floor,Lower Levels,Single/None
316,Askari Heights 4,DHA Phase 5,3.15,4.0,13.3,3.0,3 BEDROOM Luxury Designer Brand New Askari Appartment Available For Sale With All Basic Amenities On Top Class Location Of Askari Heights 4 DHA Phase 5 Islamabad.,0,2.0,4.0,2.0,12.0,1.0,1.0,1.0,0.23684210526315788,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
317,MPCHS,B-17,0.66,2.0,3.8,2.0,"Lavish 2bhk Apartment Available For Sale Margalla View 2 Bedrooms 2 Bathrooms Open Kitchen For More Details, Call Or What'S All",0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,0.1736842105263158,Brand New (2025),Lower Floors,Lower Levels,Single/None
324,Diamond Mall & Residency,Gulberg Greens,1.4,2.0,3.9,2.0,2 Bedroom Apartment Available For Sale In Gulberg Greens . Main Road Facing+ Corner Ideal Location. Peaceful Environment. Reasonable Demand. Interested Persons Are Welcome To Visit The Property. Please Feel Free To Call Us If You Need Further Details About This. We Request That Only Serious Individuals Contact Us To Make An Immediate Deal. Please Remember To Mention Zameen. Com When Calling.,1,1.0,3.0,1.0,8.0,,,,0.358974358974359,Recently Built,Lower Floors,Mid Rise Core,Single/None
327,Cube Apartments,Bahria Enclave,0.78,1.0,2.8,1.0,"Discover a unique investment and lifestyle opportunity in the heart of Bahria Enclave. This stunning 630 sq. ft. Studio Cube Apartment on the 7th floor offers a solid construction with designer finishes and, most importantly, an unforgettable, breathtaking Murree-facing hills view that you can enjoy every day. Property Features: Studio Layout: A smartly designed open space integrating a bedroom area, a modern open-style kitchen, and 1 well-appointed bathroom. Premium Floor: High on the 7th floor for optimal privacy and panoramic views. Solid Construction: Built to last with high-quality, designer finishes throughout. Parking: Inner car parking space available (Paid). The Key Feature: Your private window to the serene, green Murree hills. Building Amenities: 24/7 Security & CCTV Surveillance Fast Elevators with Backup Generator Modern Lobby & Reception Area Gated Community with access to all Bahria facilities. Location Highlights: Perfectly situated in Cube Apartments, Sector A. Enjoy a peaceful neighborhood within walking distance of a mosque, parks, and commercial areas. Close to schools, clinics, grocery stores, and restaurants. Easy access to the main entrance, zoo, and shopping malls. Ideal for investors and end-users seeking a low-maintenance, high-value property. Demand: PKR 78 Lacs Contact us today to secure this one-of-a-kind apartment!",0,1.0,1.0,1.0,9.0,,1.0,1.0,0.2785714285714286,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
329,Karakoram Diplomatic Enclave,Karakoram Diplomatic Enclave,7.75,3.0,8.9,2.0,"Diplomatic Enclave 2 Bedroom Decent Furnished Apartment American Embassy Facing In Karakoram Enclave For Sale 2000 Sq ft incoming rent US$ 1400 If you are on a budget, this property might suit your pocket nicely. A Flat you have been looking to buy for years is available for sale and right now its price is very affordable. Karakoram Diplomatic Enclave is known for beautiful properties with the best facilities. In this property's spacious 2000 Square Feet, you can live your dream lifestyle. An offer like this once comes across quite rarely in Karakoram Diplomatic Enclave. At a price of Rs. 77500000 such a deal may be hard to come again. Property features are mentioned below. Special attention in the Flat has been given to religious obligations by constructing a separate prayer room. Keep the rest of your home tidy with meal times restricted to your spacious dining room that comes with this Flat. Central heating in the Flat evenly distributes heat so you can enjoy every corner of your home. A well-equipped powder room is one of the most convenient features of the property. Kids can freely play at the garden near the Flat. The building is guarded by professional security staff at all times which makes it a secure area for living. You can hang out in the apartment's lobby while you wait. Call us today to book your Flat.",0,1.0,1.0,1.0,11.0,,2.0,1.0,0.8707865168539326,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
330,Cube Apartments,Bahria Enclave,1.15,2.0,4.9,1.0,Cube Appartments Bahria Enclave Islamabad Allotment Already Rented @ 4th Floor. Near the Main Entrance best option for living and Rental income Parking is not paid. Basement parking 15 lakh not paid. Outer shelter parking 10 lakh not paid,1,1.0,1.0,4.0,9.0,,2.0,,0.23469387755102036,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
344,F-11,F-11,7.0,4.0,16.2,3.0,"*3 Bed Apartment for Sale Abu Dhabi Tower, F-11 Markaz, Islamabad* Beautiful Front View Prime Location Covered Area: 3650 sq. ft. 3 Bedrooms | Attached Washrooms | Spacious Lounge | Kitchen Ideal for Families Secure & Peaceful Environment Urgent for Sale Abu Dhabi Tower, F-11 Markaz Contact: M. Naqib ur Rehman View Contact Detail",1,1.0,1.0,1.0,9.0,1.0,1.0,1.0,0.4320987654320988,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
345,The Centaurus,F-8,17.17,5.0,11.7,3.0,"*Purchase Directly from Centaurus Managment *Three Bedroom Apartment with Maid Room *Demand: PKR 171,730,000/- *Possession With 50% Downpayment. *50% Payment in Instalments *Resident And His Family Will Enjoy Health Club Facilities. *Health Club Facilities Includes. *Swimming Pool *Sauna Room *Stream Room *Jacuzzi *Ladies And Gents Separate Gym *Table Tennis *Squash Court *Snooker *Other Facilities; *Shopping Mall *Uninterrupted Electricity Supply *Backup Generator Plants *Central Heating And Cooling System With Separate HVAC Unit For Each Apartment *High Quality Fitting Fixture *Visitors Lobby With Intercom Facility *Dedicated Entrance And Car Parking Basement Floor For Residents *Uninterrupted Water Supply *High Speed Elevators And Service Lifts *Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale *International Construction Company Ranked Number 12 In International Ranking *World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.4675213675213679,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
346,The Centaurus,F-8,9.83,2.0,6.7,1.0,"One Bedroom Apartment With Maid Room Demand: PKR. PKR 98,280,000/- Possession With 50% Downpayment. Resident And His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,1.0,4.0,10.0,1.0,1.0,1.0,1.4671641791044776,Established,Ground/First Floor,Mid Rise Core,Multiple Bank
348,The Centaurus,F-8,17.17,5.0,11.7,3.0,"Three Bedroom Apartment with Maid Room Demand: PKR 171,730,000/- Possession With 50% Downpayment. Resident And His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking",0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.4675213675213679,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
349,F-11,F-11,5.5,3.0,12.4,3.0,"Discover a spacious 2800 sqft 3 bed flat with attached bath, TV lounge, and kitchen in F-11 Conveniently located near main road, market, mall of Islamabad, and hospital. Available for rent"" *About interior* The flat should be airy and well-ventilated This home is reflect good vibes, and well-ventilated is ideal for living. Dwellers stay happy and healthy in this well-ventilated home where ample sunlight comes in and air flows well. Good ventilation is important for several reasons. It helps in controlling the lingering moisture inside the home and keeps the floors, ceilings, walls and the furniture dry. Proper airflow can remove the bad odor from the house and help keep the house smelling fresh. The design of the interiors is Ergonomic design and well utilized space are two of the most important aspects this house. A well-designed interior built with ergonomic design, with good space utilization in this House help to make the rooms more spacious. The material used in construction is of good quality This well-constructed flat desired by many, because one this is one time renting property . The height of the ceilings should be between 11-14 feet. The ceiling height nowadays is built between 10-12 feet. The reason behind this is that the rooms look spacious and one can keep the false ceilings without making the rooms look congested. With high ceilings, a room can look more capacious. The living rooms have enough space for dining table & sofa placement The kitchen is one of the most important spaces of a huse, so it should have enough space for keeping the kitchen essentials & cooking stoves easily. Quality fittings is used Quality fittings are used by any the developer. Good taps, shower fittings, bathroom fittings and locks are used in this House Moreover, good fittings are add a touch of oomph to the interiors and make the property look exclusive. So feel free to contact us for this flat8",0,1.0,1.0,3.0,1.0,1.0,1.0,,0.4435483870967742,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
351,Warda Hamna Residencia 3,G-11,3.75,2.0,7.4,2.0,"Warda Hamna Tower 4. Brand new Two bedrooms with attached bathrooms , Drawing/Dinning, Tv lounge, Store room, laundry area and kitchen. Play area for children. Cafe and masjid located inside tower. Family oriented tower. Underground dedicated car parking. 24/7 security and surveillance. Contact for further Assistance.",0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.5067567567567567,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
354,G-15,G-15,0.95,2.0,4.9,2.0,"2 Bed Flat for Sale G-15 Islamabad (Corner Unit) Location: G-15, Prime Sector of Islamabad 1st Floor Corner Apartment Spacious Layout | Bright & Airy 2 Bedrooms | 2 Baths | Lounge | Kitchen Secure Building Ideal for Living or Investment Demand: 95 lac",0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.19387755102040813,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
355,Top City 1,Top City 1,0.68,1.0,1.7,1.0,Luxury Studio Flat For Sale Available In Main Markaz Top City-1 Islamabad 6th Floor Front Facing Rented Property Size 399 Sq Ft Ideal Location Best For Rental Value Best For Residence Golden Option For Investment Point Contact For More Information. . .,0,2.0,6.0,1.0,7.0,,1.0,,0.4,Recently Built,Mid-Level,Mid Rise Core,Single/None
356,The Centaurus,F-8,17.17,5.0,11.7,3.0,"Three Bedroom Apartment with Maid Room Demand: PKR 171,730,000/- Possession With 50% Downpayment. Resident And His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.4675213675213679,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
357,The Centaurus,F-8,19.64,4.0,13.4,2.0,"Ultra Luxury 2 Bedroom Duplex Apartment With Maid Room Demand: PKR 19,63,65000/- Downpayment 50%, Remaining In Installments Resident And His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Upto 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.4656716417910447,Recently Built,Ground/First Floor,Lower Levels,Multiple Bank
358,F-8,F-8,19.64,4.0,13.4,2.0,"Two Bedroom Duplex Apartment With Maid Room Demand: PKR. 196,365,000/- Possession With 50% Down payment. Resident And His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Snooker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,10.0,4.0,10.0,1.0,1.0,1.0,1.4656716417910447,Modern Era,Mid-Level,Mid Rise Core,Multiple Bank
359,F-8,F-8,7.49,1.0,5.1,1.0,"One Bedroom Apartment Demand: PKR 74,880,000/- Possession With 50% Downpayment. Resident And His Family Will Enjoy Health Club Facilities. Health Club Facilities Includes. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,10.0,4.0,10.0,2.0,1.0,,1.4686274509803923,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
360,The Centaurus,F-8,7.49,1.0,5.1,1.0,"* Direct from Centaurus Managment * Luxury One Bedroom Apartment * Demand: PKR 74,880,000/- * Possession With 50% Downpayment. * 6 Instalments * Resident And His Family Will Enjoy Health Club Facilities. * Health Club Facilities Includes. * Swimming Pool * Sauna Room * Stream Room * Jacuzzi * Ladies And Gents Separate Gym * Table Tennis * Squash Court * Snooker * Socker * Other Facilities; * Shopping Mall * Uninterrupted Electricity Supply * Backup Generator Plants * Central Heating And Cooling System With Separate HVAC Unit For Each Apartment * High Quality Fitting Fixture * Visitors Lobby With Intercom Facility * Dedicated Entrance And Car Parking Basement Floor For Residents * Uninterrupted Water Supply * High Speed Elevators And Service Lifts * Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale * International Construction Company Ranked Number 12 In International Ranking * World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,1.4686274509803923,Recently Built,Lower Floors,Lower Levels,Multiple Bank
361,The Centaurus,F-8,17.17,5.0,11.7,3.0,"-Three Bedroom Apartment With Maid Room -Demand: PKR 171,730,000 -Possession With 50% Downpayment. -Resident And His Family Will Enjoy Health Club Facilities. -Health Club Facilities Includes. -Swimming Pool -Sauna Room -Stream Room -Jacuzzi -Ladies And Gents Separate Gym -Table Tennis -Squash Court -Snooker -Socker -Other Facilities; -Shopping Mall -Uninterrupted Electricity Supply -Backup Generator Plants -Central Heating And Cooling System With Separate HVAC Unit For Each Apartment -High Quality Fitting Fixture -Visitors Lobby With Intercom Facility -Dedicated Entrance And Car Parking Basement Floor For Residents -Uninterrupted Water Supply -High Speed Elevators And Service Lifts -Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale -International Construction Company Ranked Number 12 In International Ranking -World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,1.0,4.0,10.0,1.0,1.0,1.0,1.4675213675213679,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
370,Top City 1,Top City 1,0.76,1.0,2.7,1.0,1 bed flat in Purely Residential Building Time Square Residence Top City-1 Islamabad Near New international airport Islamabad area Size 612 sqft Demand 80 lacs Open Kitchen Huge lounge Prime location Best for Residence and investment Contact us for more information. . .,0,1.0,7.0,3.0,13.0,0.0,1.0,1.0,0.28148148148148144,Recently Built,Mid-Level,High Rise,Multiple Bank
371,The Centaurus,F-8,17.17,5.0,11.7,3.0,"-Three Bedroom Apartment With Maid Room -Demand: PKR 171,730,000 -Possession With 50% Downpayment. -Resident And His Family Will Enjoy Health Club Facilities. -Health Club Facilities Includes. -Swimming Pool -Sauna Room -Stream Room -Jacuzzi -Ladies And Gents Separate Gym -Table Tennis -Squash Court -Snooker -Socker -Other Facilities; -Shopping Mall -Uninterrupted Electricity Supply -Backup Generator Plants -Central Heating And Cooling System With Separate HVAC Unit For Each Apartment -High Quality Fitting Fixture -Visitors Lobby With Intercom Facility -Dedicated Entrance And Car Parking Basement Floor For Residents -Uninterrupted Water Supply -High Speed Elevators And Service Lifts -Structure Design To Withstand Earthquake Up To 9.5 On Rector Scale -International Construction Company Ranked Number 12 In International Ranking -World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,1.0,4.0,10.0,1.0,1.0,1.0,1.4675213675213679,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
373,The Centaurus,F-8,19.64,4.0,13.4,2.0,"Ultra Luxury 2 Bedroom Duplex Apartment with Maid Room Demand: PKR 19,63,65000/- Resident and his family will enjoy health club facilities. Health club facilities includes. Swimming pool Sauna room Stream room Jacuzzi Ladies and Gents separate gym Table tennis Squash court Snooker Socker Other facilities; Shopping Mall Uninterrupted electricity supply Backup generator plants Central heating and cooling system with separate HVAC unit for each apartment High quality fitting fixture Visitors lobby with intercom facility Dedicated entrance and car parking basement floor for residents Uninterrupted water supply High speed elevators and service lifts Structure design to withstand earthquake upto 9.5 on rector scale International Construction Company ranked number 12 in international ranking World famous Architects of Burj ul Arab fame design The Centaurus.",0,1.0,5.0,4.0,14.0,1.0,1.0,1.0,1.4656716417910447,Brand New (2025),Lower Floors,High Rise,Multiple Bank
381,E-11,E-11,0.42,1.0,1.7,1.0,1 Bedroom 1 Bathroom 1 Kitchen 380 Square Feet Lower Ground Floor Separate Wapda Residential Meter 2 Water Bore In Building Fully Ventilated E11/4 Islamabad Available On Investor Rate Urgent Sale 43 Lac Only Upcoming Monthly Rent 33k With Maintenance,0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,0.24705882352941178,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
383,F-10,F-10,9.5,4.0,13.3,3.0,"Luxury Apartments in F-10 Islamabad | New Project Launch Experience elite living in the heart of F-10 Islamabad, where luxury, comfort, and panoramic views come together. Apartment Details: 3-Bedroom Luxury Apartments Sizes: 2,158 sq. ft up to 3,333 sq. ft Premium Location: F-10 one of Islamabads most sought-after addresses Breathtaking Views: Margalla Hills & City Skyline Project Features: High-rise luxury residential tower Grand double-height entrance lobby High-speed panoramic elevators Rooftop infinity swimming pool Fully equipped modern gym & fitness area Spacious community lounge and kids play area 24/7 security and CCTV surveillance Dedicated parking spaces Backup power and fire safety systems Elegant architecture with top-grade finishes Ideal for luxury living or investment Prime F-10 location close to shopping centers, restaurants, and main business avenues For booking and project details:",0,1.0,1.0,1.0,1.0,1.0,,0.0,0.7142857142857143,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
385,The Centaurus,F-8,19.64,4.0,13.4,2.0,"Ultra Luxury 2 Bedroom Duplex Apartment with Maid Room Demand: PKR 19,63,65000/- Resident and his family will enjoy health club facilities. Health club facilities includes. Swimming pool Sauna room Stream room Jacuzzi Ladies and Gents separate gym Table tennis Squash court Snooker Socker Other facilities; Shopping Mall Uninterrupted electricity supply Backup generator plants Central heating and cooling system with separate HVAC unit for each apartment High quality fitting fixture Visitors lobby with intercom facility Dedicated entrance and car parking basement floor for residents Uninterrupted water supply High speed elevators and service lifts Structure design to withstand earthquake upto 9.5 on rector scale International Construction Company ranked number 12 in international ranking World famous Architects of Burj ul Arab fame design The Centaurus.",0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.4656716417910447,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
386,The Centaurus,F-8,19.64,4.0,13.4,2.0,"Ultra Luxury 2 Bedroom Duplex Apartment with Maid Room Demand: PKR 19,63,65000/- Resident and his family will enjoy health club facilities. Health club facilities includes. Swimming pool Sauna room Stream room Jacuzzi Ladies and Gents separate gym Table tennis Squash court Snooker Socker Other facilities; Shopping Mall Uninterrupted electricity supply Backup generator plants Central heating and cooling system with separate HVAC unit for each apartment High quality fitting fixture Visitors lobby with intercom facility Dedicated entrance and car parking basement floor for residents Uninterrupted water supply High speed elevators and service lifts Structure design to withstand earthquake upto 9.5 on rector scale International Construction Company ranked number 12 in international ranking World famous Architects of Burj ul Arab fame design The Centaurus.",0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.4656716417910447,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
387,The Centaurus,F-8,19.64,4.0,13.4,2.0,"Ultra Luxury Two Bedroom Duplex Apartment with Maid Room Demand: PKR 19,63,65000/- Resident and his family will enjoy health club facilities. Health club facilities includes. Swimming pool Sauna room Stream room Jacuzzi Ladies and Gents separate gym Table tennis Squash court Snooker Socker Other facilities; Shopping Mall Uninterrupted electricity supply Backup generator plants Central heating and cooling system with separate HVAC unit for each apartment High quality fitting fixture Visitors lobby with intercom facility Dedicated entrance and car parking basement floor for residents Uninterrupted water supply High speed elevators and service lifts Structure design to withstand earthquake upto 9.5 on rector scale International Construction Company ranked number 12 in international ranking World famous Architects of Burj ul Arab fame design The Centaurus.",0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.4656716417910447,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
388,The Centaurus,F-8,19.64,4.0,13.4,2.0,"Ultra Luxury 2 Bedroom Duplex Apartment with Maid Room Demand: PKR 19,63,65000/- Resident and his family will enjoy health club facilities. Health club facilities includes. Swimming pool Sauna room Stream room Jacuzzi Ladies and Gents separate gym Table tennis Squash court Snooker Socker Other facilities; Shopping Mall Uninterrupted electricity supply Backup generator plants Central heating and cooling system with separate HVAC unit for each apartment High quality fitting fixture Visitors lobby with intercom facility Dedicated entrance and car parking basement floor for residents Uninterrupted water supply High speed elevators and service lifts Structure design to withstand earthquake upto 9.5 on rector scale International Construction Company ranked number 12 in international ranking World famous Architects of Burj ul Arab fame design The Centaurus.",0,1.0,2.0,4.0,8.0,1.0,1.0,1.0,1.4656716417910447,Modern Era,Lower Floors,Mid Rise Core,Multiple Bank
390,The Centaurus,F-8,21.0,6.0,20.0,4.0,"Demand Pkr. 210,000,000/-?price per sqft: PKR 46,500. Area: 4,516 SQ. FT. Unfurnished VIEW: Muree Hills, Shakarparian, Pakistan monument, Rawal lake Height Floor Double story Unfurnished PER MONTH Rental value: PKR. 800,000 TO 1,000,000 Facilities Include. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Upto 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,1.05,Established,Lower Floors,Ground/Flat,Multiple Bank
391,The Centaurus,F-8,4.9,1.0,4.0,1.0,"Demand Pkr. 49,000,000/- Area: 890 SQ. FT. Beautiful View of Islamabad Lush Greenery Unfurnished Rental value: PKR. 200,000 TO 230,000 Facilities Include. Swimming Pool Sauna Room Stream Room Jacuzzi Ladies And Gents Separate Gym Table Tennis Squash Court Snooker Socker Other Facilities; Shopping Mall Uninterrupted Electricity Supply Backup Generator Plants Central Heating And Cooling System With Separate HVAC Unit For Each Apartment High Quality Fitting Fixture Visitors Lobby With Intercom Facility Dedicated Entrance And Car Parking Basement Floor For Residents Uninterrupted Water Supply High Speed Elevators And Service Lifts Structure Design To Withstand Earthquake Upto 9.5 On Rector Scale International Construction Company Ranked Number 12 In International Ranking World Famous Architects Of Burj Ul Arab Fame Design The Centaurus.",0,1.0,1.0,4.0,1.0,,1.0,,1.225,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
393,Askari Heights 4,DHA Phase 5,2.85,3.0,10.0,3.0,"Brand New Apartment For Sale Askri Tower4 Dha5 Isb At Such Amazing Rate Of Rs. 28500000, Such A Deal Doesn'T Remain Open For Long. A Solid Property Is The Best Investment. You Won'T Find Flat Like This Too Often. So, It'S Better To Beat The Clock Before Someone Else Grabs It Up For Comfort. Islamabad, The Upcoming Real Estate Market Of Pakistan. Another Piece Of Property Just Came Up In Askari Heights 4. Take A Chance And It May Just Be Yours At A Moments Notice. Your Best Life Awaits You In 2260 Square Feet Property That Is Available Right Now. Know More About The Property With The Details Given Below. Keep Your Home Warm In Winters With Double-Glazed Windows. A Flat That Comes With A Space For Study Room Allows Greater Room To Set A Private Corner. The Property Has A Lounging Area To Allow You Some Breathing Room. You Can Find A Professional Security Services Team That Guards The Building 24/7. To Book An Appointment To View The Listing, Contact Us Today. Impress Your Guests With This Spacious And Gorgeous Drawing Room. Mealtime With Families Or Entertaining Guests, The House'S Large Dining Room Solves All Problems. For Booking And Details, Give Us A Call Today.",1,1.0,1.0,1.0,12.0,1.0,2.0,1.0,0.28500000000000003,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
