,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Servant Quarters,Kitchens,Store Rooms,Storey Unit,Property era
1422,Bahria Town,5.5,6.0,10.0,5.0,Sector A 10 marla designer house Almost developed cda approved 5 bedrooms 6 washrooms 2 unit house designer house walking distance from park masjid market and school,False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
1424,F-6,33.0,5.0,32.0,4.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washroom s. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parkings 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,2.0,2.0,3.0,Recently Built
1425,F-6,50.0,5.0,24.0,4.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- NOTE TEMP PICTURES INVESTER PRICE 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parkings 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,2.0,2.0,3.0,Recently Built
1426,F-8,28.75,5.0,24.0,4.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parkings 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,1.0,1.0,2.0,Established
1427,F-7,74.0,7.0,50.0,8.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parkings 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,2.0,1.0,1.0,Vintage
1428,F-7,48.0,6.0,26.0,6.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parkings 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,1.0,,,Recently Built
1430,F-6,36.0,8.0,16.0,7.0,"Marriott Estate And Builders Offer A Ideal House Having Following Properties:- 1. Have 6 Bedrooms With Attached Washrooms. 2. Two Advanced Kitchens. 3. Two T. V Lounges, 4. Drawing Room 5. Dining Room, 6. Beautiful Lawn 7. Terrace, 8. Servant Rooms 9. Multiple Car Parkings 10. Installed Air Conditioners, 11. Central Heating System 12. Water Bore. We Have Also Multiple Options Available For Sale And Rent In Sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For Further Assistance Please Contact With Us.",False,False,True,False,0,,2.0,,2.0,Recently Built
1431,Bahria Enclave,5.5,6.0,10.0,5.0,10 Marla Brand New House 5 Bedrooms 5 Washrooms 2 Kitchens 2 Tv Lounge Drawing Room Servant Room Attach Bath 2 Car Parking Visit Possible Anytime,False,False,False,False,1,,,,,Brand New (2025)
1432,Bahria Enclave,2.35,4.0,5.0,3.0,"Back Open Park face House for Sale in Sector H, Bahria Enclave Islamabad Discover an exceptional opportunity to own a beautiful A+ construction house located at an extreme top location in Sector H, Bahria Enclave Islamabad. This elegant home features 3 spacious bedrooms with attached baths, 2 stylish TV lounges, a drawing room, and a servant room. The back-open design adds extra ventilation and natural light, making the home bright and comfortable. Ideally located near the mosque, park, school, and civic zone, it offers both convenience and a peaceful living environment. Enjoy Bahria Enclaves premium lifestyle with 24/7 security, well-maintained infrastructure, and modern amenities. Demand: 235 Lac Only",False,False,False,False,0,1.0,2.0,,,Brand New (2025)
1433,Naval Anchorage,2.65,4.0,5.0,4.0,"5 Marla Luxury House for Sale Naval Anchorage Islamabad Solid Construction | Sun-Facing | CDA Approved For Visit and Original Pictures Call. . . . . . Property Details: Brand New Double Story Double Unit 4 Bedrooms | 4 Washrooms 2 Kitchens | 2 TV Lounges | 2 Drawing Rooms Prime Location: Near Park, Market & Mosque Peaceful and Secure Ideal for Two Families or Investment Purpose Ready to Move Just Bring Your Luggage ------------------------------------------------------- Now Offering Naval Anchorage Islamabad Phase-II (Thallian) Plots on Easy Installments A CDA-Approved Upcoming Landmark Project! Project Highlights: Road Network (As Per CDA Bylaws) Green Living Environment: Huge Parks & Green Areas Walking & Jogging Tracks Natural Beauty with Untouched Landscapes (No Filling) Pure Lifestyle: Natural Underground Water Lush Green Surroundings Fertile Land Ideal for Kitchen Gardening ------------------------------------- Option of Investment ------------------------------------- 5-Marla | 8-Marla | 10-Marla | 1-Kanal | 2-Kanal ------------------------------------- For More Details & Visit: UR Property",True,False,False,False,0,,,,2.0,Brand New (2025)
1434,Bahria Enclave,2.7,4.0,5.0,3.0,"Brand New House for Sale Sector N, Bahria Enclave Islamabad A brand new, modern-designed house is available for sale in Sector N, Bahria Enclave Islamabad. This home is built with solid construction and premium finishing, located at an extreme top location with park-facing views, making it perfect for families who desire comfort, beauty, and convenience. Property Features: 3 Spacious Bedrooms with Attached Baths 1 Modern TV Lounges for family gatherings 1 Elegant Drawing Room Back Open with Lawn airy & fresh environment Solid Construction with High-Quality Finishing Park Face Ideal for families Near Civic Zone, Mosque, Market & Park Demand: 2 Crore 35 Lac (Reasonable Price) About Bahria Enclave Islamabad: Bahria Enclave is one of the most prestigious and secure societies in Islamabad, offering: Gated Community with 24/7 Security Wide Carpeted Roads & Underground Electricity Modern Commercial Areas & Civic Zone Parks, Mosques, Schools & Hospitals within easy reach Peaceful Environment with Scenic Views of Margalla Hills",False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
1435,Bahria Enclave,2.35,4.0,5.0,3.0,Brand New House 5 Marla Sector N 3 Bed Room 3 Wash Room Tv lounge Drawing Room Tv Lounge Sarvent Room more Details contect for us,False,False,False,False,1,1.0,2.0,,2.0,Brand New (2025)
1436,Bahria Enclave,2.6,4.0,5.0,3.0,"Designer 5 Marla House for Sale A Perfect Blend of Luxury & Location Sector N Prime Location | Modern Architecture | Premium Finishing Discover elegant living in this beautifully designed 5 Marla house, offering both comfort and convenience: Property Highlights: 3 Spacious Bedrooms with attached modern bathrooms 2 Stylish TV Lounges ideal for family gatherings & entertainment Elegant Drawing Room with sophisticated detailing Car Porch for secure parking Servant Room for added convenience Modern Kitchen with premium fittings Elegant Finishing & Solid Woodwork throughout the house Location Benefits: Best Location for Living Sector N Masjid within Walking Distance Shops & Daily Essentials Nearby This home isnt just a structure its a lifestyle statement. With premium interiors and an unbeatable location, it offers everything a modern family needs. Demand: 2 Crore 60 Lakh PKR Serious buyers, contact now to book your visit and experience luxury living firsthand!",True,False,False,False,1,1.0,2.0,,2.0,Brand New (2025)
1438,Bahria Enclave,3.6,5.0,8.0,4.0,"Designer 8 Marla House for Sale Sector N, Bahria Enclave Islamabad Step into elegance and comfort with this stunning 8 Marla designer house located in the prestigious Sector N of Bahria Enclave. Positioned at a heighted location with breathtaking mountain scenery, this home offers a lifestyle that blends modern luxury with natural beauty. Property Features: 4 Spacious Bedrooms with Attached Baths 2 Modern Kitchens 2 Elegant Drawing Rooms + Dining Area 2 Stylish TV Lounges Servant Quarter for Added Convenience Designer Construction with Premium Finishing Beautiful Mountain View & Fresh Air Demand: 3 Crore 60 Lac (Negotiable) Why Choose This House? Prime location in a fully developed sector Surrounded by greenery and natural beauty Walking distance to mosque, park, and commercial area Access to all top-notch Bahria Enclave amenities: 24/7 Security & Gated Community Schools, Colleges & Hospital Shopping Centers & Restaurants Zoo & Family Entertainment Facilities This is not just a house its your dream home with a perfect balance of luxury, comfort, and unmatched views. For more details, contact: Rana Ehtisham View Contact Detail Designer 8 Marla House for Sale Sector N, Bahria Enclave Islamabad Step into elegance and comfort with this stunning 8 Marla designer house located in the prestigious Sector N of Bahria Enclave. Positioned at a heighted location with breathtaking mountain scenery, this home offers a lifestyle that blends modern luxury with natural beauty.",True,False,False,False,0,1.0,2.0,2.0,2.0,Brand New (2025)
1440,Top City 1,5.6,8.0,13.0,8.0,"cornor polt Extera lend Unable to find investment opportunities in Islamabad? Check out our listings. This is the best opportunity for you to buy this property at the lowest possible price. The newly constructed House is built keeping in mind the modern day needs. Make use of the best offer available on 13 Marla properties right now. The properties in Top City 1 - Block D will have all the day to day facilities at a close reach. The well-constructed House carries a price tag of PKR Rs. 57500000 and you shouldn't miss this offer. Features of property as follow. Cleanliness is ensured at all times through an effective waste disposal system. Impress your guests with this spacious and gorgeous drawing room. A spacious laundry room is part of the House where you can install your washing machine. For big families, the spacious sitting room that comes with this property is perfect. Feeling stressed? Simply step into the steam room that is part of the House for a few minutes. Central air conditioning in the House can save you from the outside heat. The House has a central heating system installed which is especially useful during winters. For further correspondence about the property, you can fill the form and we'll get in touch.",False,False,False,False,1,1.0,,,,Brand New (2025)
1441,Top City 1,7.5,6.0,20.0,7.0,"Brand New 1 Kanal House for Sale Block C, Top City An exceptional opportunity to own a brand new 1 Kanal house in the heart of Block C, Top City. Perfectly located facing Murree, this stunning property is just steps away from park, mosque, and commercial area making it an ideal home for families who value both comfort and convenience. Key Highlights: Prime location in Block C, facing Murree side Walking distance to park, mosque, and commercial zone Brand new construction with solid structure and elegant finishing Spacious and well-ventilated layout designed for modern living Premium fittings and fixtures (A++ quality) Lowest priced brand new house in Block C unmatched deal for serious buyers Why Choose This House? This property combines luxury, practicality, and affordability in one package. Whether for personal living or investment, it is the best-value brand new 1 Kanal house available in Block C today.",True,False,False,False,1,1.0,2.0,2.0,2.0,Brand New (2025)
1442,DHA Valley,1.55,3.0,8.0,3.0,8 Marla Brand New Double Story Corner Home With Extra Land Complete Grills Installed More Options Available,False,False,False,True,1,1.0,1.0,1.0,2.0,Recently Built
1443,National Police Foundation O-9,2.45,5.0,5.0,5.0,5 marla double storey house for sale. Near mosque school and market. Car parking and seperate kitchens also available.,False,False,False,False,0,1.0,3.0,1.0,2.0,Brand New (2025)
1444,F-8,45.0,7.0,17.8,6.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parkings 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,2.0,,3.0,Recently Built
1446,F-7,41.0,3.0,42.0,3.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parking 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,2.0,2.0,2.0,Vintage
1447,F-6,33.0,6.0,20.0,5.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parkings 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,2.0,1.0,2.0,Vintage
1448,D-12,28.0,7.0,24.0,6.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parkings 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,2.0,,3.0,Recently Built
1449,F-8,37.0,7.0,20.0,7.0,"Marriott Estate And Builders Offer a Ideal House having following properties:- 1. Have 6 bedrooms with attached washrooms. 2. Two advanced kitchens. 3. Two T. V lounges, 4. Drawing room 5. Dining room, 6. Beautiful lawn 7. Terrace, 8. Servant rooms 9. Multiple car parking 10. Installed air conditioners, 11. Central heating system 12. Water bore. We have also multiple options available for sale and rent in sectors F-6, F-7, F-8, E-7, G-6(3) F-10, F-11 Islamabad For further assistance please contact with us.",False,False,True,False,0,2.0,2.0,,,Modern Era
1451,G-13,3.6,4.0,4.0,4.0,"Best Location House For Sale In G-13 50 Ft Wide Road Excellent Wood, Tile Work Done 4 Bed With Attach Bath 2 Kitchen Mummty With Bath Boring, Electricity Metres For More Details Contact",False,False,False,False,0,1.0,2.0,1.0,,Brand New (2025)
1452,MPCHS - Multi Gardens,2.15,5.0,5.0,4.0,Size 25x50 5 Marla Brand New House Double Story Double Unit 60 Feet Wide Street Sun Face Water Boring Gas Electricity Good Location A++ Construction Walking Distance From Masque Main Commercial Market Park School For More Information Contact:,False,False,True,False,1,1.0,2.0,1.0,2.0,Brand New (2025)
1454,F-11,16.5,6.0,20.0,5.0,"Step into opulence with this exquisite 5-bedroom, 6-bathroom residence nestled in the exclusive F-11 sector. Featuring 2 dining areas, 2 TV lounges, and 2 kitchens, this home offers unparalleled comfort and functionality. Boasting a prime location and CDA transfer, this property is a testament to refined living. Priced at 15 crores, this leviable house is an embodiment of sophistication. Explore luxury living at its finest - contact us now to schedule a viewing and discover more exclusive options in the coveted F-sectors.",True,False,False,False,0,1.0,2.0,,,Recently Built
1455,Mumtaz City,3.0,6.0,8.0,5.0,Ideal Location Brand New House For Sale In Mumtaz City Islamabad Near Kashmir Highway Near Metro Bas Stop Near International Airport 4km Near Motorway Lahore Motorway Peshawar Facilities Electricity Gas Water Supply What Percentage Plant Mosque Family Park 24 Security,False,False,False,False,0,1.0,2.0,2.0,2.0,Brand New (2025)
1458,G-11,9.15,5.0,10.0,5.0,Main Double Road Ideal Location 5 Bed With Attached Washroom 2 Kitchen Lounge All Basic Facilities Are Available 2 Gas And 2 Electricity Motors Available,False,False,False,False,0,1.0,2.0,1.0,2.0,Modern Era
1459,I-14,3.0,5.0,6.0,5.0,"DOUBLE STORY NEW HOUSE FOR SALE. . . Heres a verified listing that matches your criteria perfectly, Umar: 6 Marla Double-Story Brand New House in CDA Sector I-14/1, Islamabad - Plot Size: 25x60 (6 Marla) - Bedrooms: 5 - Bathrooms: 5 - Kitchens: 2 - Drawing Rooms: 2 - TV Lounges: 2 - Car Porch: Yes - Demand: PKR 03 Crore This property is owner-built and located in a developed part of I-14/1, offering solid construction and spacious accommodation. If you're evaluating pair plots or looking for long-term appreciation, this could be a strategic fit given I-14s improving infrastructure and proximity to key routes. FOR MORE INFO PLZ CONTACT. . . AL-REHMAN REAL ESTATE. . .",False,False,False,False,1,,3.0,,2.0,Recently Built
1460,F-11,29.0,6.0,40.0,6.0,investor price house available for sale in f11/3 demolisheable house prime location size 1000 sq yard (2 kanal) cda transfer demand 29 cr negotiable,True,False,False,False,0,2.0,2.0,2.0,2.0,Recently Built
1461,MPCHS - Multi Gardens,2.15,5.0,5.0,4.0,"A beautifully constructed 5 Marla Corner House is available for sale in F Block Double Story Double Unit Solid land Prime Location 4 Bedrooms with Attached Washrooms 2 Drawing Rooms 2 Spacious TV Lounges 2 Modern Kitchens 4 Washrooms 1 Servant Quarter with Attached bathroom 1 Car Parking Spaces Water boring installation Electricity connection install Additional Details: A+ Construction & Modern Finishing Corner House Extra Space & Ventilation Prime Location in Faisal Hills C Block Near Masjid, Park, and Commercial Area Demand: 1 Crore 65 Lakh Only For More Details & Visit: Zohaib Adalat Baloch",True,False,True,True,0,1.0,2.0,1.0,2.0,Brand New (2025)
1462,Bahria Town,4.95,6.0,10.0,5.0,"10 Marla House for Sale Sector C2, Bahria Enclave Islamabad Presenting a well-built 10 Marla sun-facing house in the prime location of Sector C2, Bahria Enclave Islamabad. 5 Spacious Bedrooms with attached modern washrooms Located on 80-feet wide boulevard road Sun-Facing Bright and well-ventilated home Just 2 minutes drive from the main entrance of Bahria Enclave Solid Construction with top-class materials and elegant finishing Ideal for comfortable living or long-term investment Peaceful surroundings and easy access make this an ideal family home. Contact: us Euro Homes Real Estate & Builders",True,False,False,False,0,1.0,2.0,1.0,2.0,Recently Built
1463,MPCHS - Multi Gardens,2.8,4.0,5.0,4.0,"B-17 multi garden Block-F brand new corner house of 25*50. 5 Marla Situated on 60ft road 4 bed rooms with attached washrooms Solid construction Beautiful two kitchens Two lounge Imported Fitting and accessories are installed inside the house One car Parking space Huge underground water tank Mumty has spacious room can be used as store Some extra lawn due to corner of 60ft road Close to Mosque and market Available for sale demand 280 lac Own house Properties in this locality are a total bargain, which is a plus. Islamabad is full of real estate investment opportunities, so stop waiting and start investing! A spacious property with modern features is available for sale. Such a steal deal is hard to come by again. The asking price of Rs. 28000000 will multiply into profits for you. Undoubtedly, 5 Marla sized properties are the most popular in the market and for good reason, so make your investment now. The House on offer can fit your needs perfectly. Details of the property are mentioned below. You can work out at the gym within premises to make up for the physical activity lag created by the urban life. Differently-abled people will find this House easy to navigate, as it is developed to incorporate their needs. A 24/7 active security staff maintains a safe, peaceful environment for the dwellers. The society has an effective waste disposal service that ensures cleanliness. Have a fun family movie night with ease in the cosy lounge area of this property. The House comes with central air-conditioning which keeps the inside temperature pleasant. Your guests can conveniently use the powder room as opposed to personal washrooms. Have questions? Get in contact with us.",False,False,False,True,0,1.0,1.0,1.0,2.0,Brand New (2025)
1464,Tarlai,1.55,5.0,5.0,3.0,"Beautiful 5 Marla double story House for Sale in Tarlai 2 minutes from main lehtrar road , Islamabad A well-maintained double-storey house located in a peaceful street of Tarlai, Islamabad. This elegant home features spacious design, modern front elevation, and strong construction quality ideal for small families or investment purposes. **Demand:** 1.55 Crore PKR **Location:** Near Lehtarar Road, Tarlai, Islamabad Dont miss this opportunity visit and book your dream home today!",False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
1468,D-12,4.1,4.0,4.0,3.0,"4 Marla(25x40) house on investor rate Covered area 1750 sq feet 3 Bedrooms With Attached Bathroom's Drawing And TV Lounge 1 Kitchen 1 Servant Quarter Secure And Safe Area Near To KFC,Coffee Beans and Carrefour. Underground Electricity Supply Underground severage and Water supply Top Location and A plus construction original fotos attached Asking price is 4.10 cror.",False,False,False,False,0,,1.0,,2.0,Recently Built
1471,G-13,6.5,4.0,8.0,4.0,#Top Location #4 Beds with Attach Bath #Full TileFlooring #FGEHA Transfer,False,False,False,False,0,,,,,Recently Built
1475,DHA Valley,1.35,3.0,8.0,3.0,Available For Sale 8 Marla Brand New Double Story Home More Information Please Contact Us M. Ishaq View Contact Detail AL NOOR REALTORS,False,False,False,False,1,1.0,1.0,1.0,2.0,Recently Built
1476,DHA Phase 5,3.25,3.0,5.0,3.0,"Transfer in DHA All facilities available A central location like DHA Phase 5 - Sector F is the best choice for living as it's close to all necessities. Buying a 5 Marla property is a good option to live comfortably. This is the newest, most attractive neighbourhood of the Islamabad and you wouldn't want to miss an opportunity to live here. A price of PKR Rs. 35000000 is quite reasonable for a property with modern furnishings. You can book your House today at an ideal price of PKR Rs. 35000000. There is nothing better than purchasing your property in a thriving locality and we have just the options for you. It's a lucrative project offer to own your dream home, so call us today for booking or more information.",False,False,False,False,0,,2.0,,2.0,Recently Built
1477,G-10,8.0,6.0,14.0,6.0,"*G,10/1- 14 MARLA HOUSE FOR SALE LIVE ABLE HOUSE INVESTER PRICE 6 BED ATTACHED BATH 2 KITCHEN 2 DD 2 GATE RENTAL INCOME 3 LAC PER MONTH USED FOR HOUSE RESIDENCE & COMMERCIAL 7 CORER 95 LAC View Contact Detail *",False,False,False,False,1,,,,,Brand New (2025)
1478,Park View City,4.75,4.0,8.0,4.0,new house ready for living near to down town near to park,False,False,False,False,0,1.0,1.0,1.0,2.0,Brand New (2025)
1479,G-13,4.15,5.0,4.4,4.0,"25x40 Luxury Full House Is Available For Sale On Investor Rate Pindi Face Bedroom With Attach Bath Drawing Dining Tv Lounge Kitchen Car parking Space Fully Tile Flooring Near By Park, Masjid, School, Hospital, Market, And Srinagar Highway Ideal And Peace Full location Nice House Wide streets Nearby commercial and public parks with kids play area. This House is in one of the most leading and Emerging sector of Islamabad. Fully Tille Flooring All Facilities Are Available More Details Please Contact us And Arrange Visit",False,False,False,False,0,2.0,2.0,1.0,,Brand New (2025)
1480,G-13,3.7,5.0,4.0,4.0,"4Marla (25*40) House For sale Located At Prime Location Of G-13/1 About the Property: 4Bedrooms 5 Washrooms Drawing Dining 2 Kitchens 2 TV Lounge Powder Room Servant Quarter With attached Washroom 1Car Parking Tile Flooring Green Lawn Double Unit House ideal Locality Electricity Available Water Boring Running & also Water Supply Facility available All Facilities Are Available Which Is The Need OF Living Very Near to Main Double Road and Kashmir Highway Very Near to School, College, Market, Masjid Park Gym Located in one of the best locations of G-13 Reply Islamabad",True,False,True,False,0,1.0,2.0,1.0,2.0,Modern Era
1481,Gulberg Residencia,5.95,6.0,10.0,6.0,O block gulberg residencia 10 marla house available for sale more options available in different block different areas different categories houses furnished non furnished available visit any time direct allotee meeting,False,False,False,False,0,1.0,2.0,3.0,2.0,Brand New (2025)
1485,Bahria Enclave,4.35,5.0,10.0,5.0,"10 Marla House for Sale Sector C1, Bahria Enclave Islamabad Beautiful and well-located 10 Marla house available for sale in Sector C1. 5 Bedrooms with attached bathrooms TV Lounge Kitchen Ideal Location & Solid Construction Demand: 4.35 Crore PKR For more details or visit, contact us today!",False,False,False,False,0,1.0,2.0,1.0,2.0,Brand New (2025)
1489,E-7,68.0,2.0,32.0,2.0,"E-7 has many options for all kinds of properties, so stop waiting and start looking. You need to trust us when we state: a better, more reasonable, price offer than this property's Rs. 680000000 tag may not appear on your radar for a while. It's the best time for investment in 800 Square Yards property and we know just the option for you. New house for sale have just popped up, so book an appointment today to find your dream home. This House is ideally located in E-7 E-7. E-7 is known for its easy access to amenities and public transport, so you should definitely check it out. Notable property details are as follows. You can take control of your health again by hitting the sauna in the building regularly. The community swimming pool in the building/society is a great facility, especially for the kids. You no longer need to worry about staying connected as this property comes with high-speed broadband internet access. The expert security staff will remain vigilant round the clock. The House has a Jamiah mosque at a convenient walking distance from it. The House features state-of-the-art amenities for the differently-abled. Host barbeque parties and entertain small gatherings at the adjoining barbeque area. We are just a phone call away, contact us now!",False,False,False,False,0,,,2.0,,Established
1493,Shah Allah Ditta,2.4,3.0,5.0,3.0,"New House In Prime Location Of Shah Allah Ditta Your ideal property type is up for sale, so what are you waiting for. Shah Allah Ditta seems to be an in-demand location as all the buyers and investors are eyeing it. And along with its reasonable Rs. 24000000 price tag, this property option is definitely a keeper. 5 Marla House is available for sale in the best location. Looking for a long-term investment option in Shah Allah Ditta? Here are some options. The House is beautifully designed for a comfortable lifestyle. For booking details, call us on the given numbers.",True,False,False,False,0,1.0,2.0,1.0,,Recently Built
1494,MPCHS - Multi Gardens,2.15,5.0,5.0,4.0,corner double unit for double living family house two kitchens four bedrooms 5 bathrooms twoTV launch drawing dinings best opportunity for close relation or two brothers living together separately very close to basic amenities like Park masjid market and School,False,False,False,True,0,,,,2.0,Brand New (2025)
1495,G-13,10.7,6.0,14.0,6.0,"14 Marla (40x80) Classical Design Brand New House for Sale in G-13 Islamabad Discover a beautifully designed brand new double unit house located in one of Islamabads most prime sectors G-13. This 14 Marla (40x80) masterpiece features a classical elevation, premium finishes, and an ideal layout perfect for two families or a luxurious single-family living experience. Property Features: Size: 14 Marla (40x80) Brand New Classical Design 6 Spacious Bedrooms with attached modern bathrooms 2 Stylish Kitchens with high-quality fittings 2 Drawing/Dining Rooms 2 TV Lounges for comfortable family living Servant Quarter with attached bath Car Porch for 3 to 4 cars Solid construction with imported fixtures and woodwork 2 Rooms on roof for multi purpose water boring plus supply connection available Location Highlights: Prime location in G-13 Islamabad Close to Kashmir Highway, Jogging Track, Main Double Road, Park, Market, and Masjid Wide streets and peaceful neighborhood Ideal for living or investment Demand: Rs. 10.7 Crore (Negotiable) For More Details & Visit: Property Empire G-13/2 Mughal Market, Islamabad Contact: View Contact Detail",True,False,True,False,0,2.0,2.0,2.0,2.0,Brand New (2025)
1497,G-13,5.6,4.0,7.0,4.0,"4 Bedrooms | 4 Bathrooms 2 TV Lounges 2 Drawing & Dining Rooms 2 Kitchens Servant Quarter Green Lawn | Double Road Water Boring + Supply Electricity & Gas Meter Installed Prime Location: Near Kashmir Highway, schools, parks, hospitals, markets & masjid. Contact now for more details!",True,False,True,False,0,1.0,2.0,2.0,2.0,Recently Built
1499,Naval Anchorage,2.55,6.0,5.0,4.0,G block 5 marla plots and houses available for sale more options available in different blocks,False,False,False,False,0,2.0,2.0,2.0,3.0,Brand New (2025)
1500,Simly Dam Road,6.3,3.0,20.0,3.0,"Plot Size: 1 Kanal. Covered Area: 2,500 Sq Ft Bedrooms: 3 Daily Rental: 65,000/- Per Night. Contact Now For Any Further Details And The Visit.",False,False,False,False,0,1.0,1.0,,2.0,Brand New (2025)
1501,Top City 1,4.49,4.0,10.0,4.0,"Block A street no 6 House For Sale size. 10 marla Demand 449 lac Looking for the most trusted 10 Marla options. Here is something to consider. If you are looking to buy the best House in the prime locality in Islamabad, we can help! This comfortable property is available for sale. The right property for you in Top City 1 - Block A is right within your reach. The Islamabad is a good choice for your next chapter in life. Make this ideal property yours at a bargain price of Rs. 44900000. Features of property as follow. A central heating system in the House is convenient for everyone to operate. Rising temperatures can be detrimental to health but indoors you can stay safe with central air-conditioning that is part of the House. Having a community swimming pool is an amenity that one can't deny. Differently-abled people will find this House easy to navigate, as it is developed to incorporate their needs. Double Glazed windows are a perfect solution to outside noise. Your personal space can stay personal with a powder room in the home. In hardly a few minutes by walk, you can find a mosque near the House. We are just a phone call away, contact us now!",False,False,False,False,0,1.0,1.0,1.0,2.0,Recently Built
